File name,Date,Sample ID,Replicate number,Mouse ID,Sex,Age,Genotype,Stress-relaxation 60s,Rate of change of stress 60s,S60 clamped,Hysteresis strain energy per unit volume,Hysteresis %,Average diameter (um),C.s.a (um squared),C.s.a (mm squared),Sample length (mm),Failure force (N) - corrected,Failure stress (MPa) - corrected,Failure strain (%) - corrected,Failure extension (mm) - corrected,Max modulus (sliding window),Stress at max modulus (sliding window),Strain at max modulus (sliding window),Time at max modulus (s),Force at max modulus (N),Displacement at max modulus (mm),Max modulus fit R2,Max modulus fit intercept (MPa),Max modulus fit n points,SNR preconditioning,SNR hold,SNR failure,SNR preconditioning pass,SNR hold pass,SNR failure pass,Residual preconditioning,Residual hold,Residual failure,Residual preconditioning pass,Residual hold pass,Residual failure pass,Range preconditioning,Range hold,Range failure,Range preconditioning pass,Range hold pass,Range failure pass,Preconditioning pass,Hold pass,Failure pass,Force-Time plot,Force-Extension plot
210330 MRC Sample C3Data.csv,30.03.2021,C,3,180.2,F,8wks,Tm1b Wt,35.4569104,-0.00265885267,False,0.0115793142,28.12680291,176.4836667,24462.39181,0.024462392,14.001,0.118,4.823731056,8.442254125,1.182,128.9935512,0.8993396884,0.02992643383,787.28,0.165,0.419,0.6932955924,-3.020616279,159,8.586419438,8.791352452,72.81175527,True,True,True,0.04156170522,0.1248974136,0.02618356126,True,False,True,0.064,0.032,0.128,True,True,True,True,False,True,results/plots/210330_Sample_C3_force_time.png,results/plots/210330_Sample_C3_force_extension.png
210330 MRC Sample C4Data.csv,30.03.2021,C,4,180.2,F,8wks,Tm1b Wt,2.745334845,-0.001292511194,False,0.02509204364,28.02351612,143.5433333,16182.88453,0.016182885,14,0.236,14.58330823,7.064285714,0.989,501.7006482,4.63452592,0.02857142857,786.98,0.218,0.4,0.943724345,-9.684975649,180,43.63398961,12.34968149,63.29501163,True,True,True,0.03165282995,0.03630612958,0.01590431165,True,True,True,0.112,0.07,0.252,True,True,True,True,True,True,results/plots/210330_Sample_C4_force_time.png,results/plots/210330_Sample_C4_force_extension.png
210330 MRC Sample C5Data.csv,30.03.2021,C,5,180.2,F,8wks,Tm1b Wt,85.63348839,-0.008199851326,False,0.05089787721,63.83623815,151.0146667,17911.34249,0.017911342,14,0.327,18.25658848,11.47857143,1.607,351.2680951,8.374581871,0.06378571429,793.35,0.293,0.893,0.8863076786,-13.71230809,179,20.89138455,7.883327343,169.3170669,True,True,True,0.02325040802,0.07719295753,0.014226132,True,True,True,0.097,0.032,0.337,True,True,True,True,True,True,results/plots/210330_Sample_C5_force_time.png,results/plots/210330_Sample_C5_force_extension.png
210330 MRC Sample C6Data.csv,30.03.2021,C,6,180.2,F,8wks,Tm1b Wt,14.80361393,-0.0006990234771,False,0.001966165699,7.518108878,210.427,34777.05551,0.034777056,14,0.477,13.71593961,10.05714286,1.408,327.1695827,4.945789546,0.04342857143,789.7,0.31,0.608,0.9634399633,-9.487973113,179,7.674088411,2.084642686,102.5335428,True,False,True,0.04902015339,0.1116698949,0.009748505366,True,False,True,0.075,0.037,0.498,True,True,True,True,False,True,results/plots/210330_Sample_C6_force_time.png,results/plots/210330_Sample_C6_force_extension.png
210330 MRC Sample C7Data.csv,30.03.2021,C,7,180.2,F,8wks,Tm1b Wt,-56.15383237,0.003865101972,False,0.06456008355,50.91952482,148.529,17326.56194,0.017326562,14.001,0.257,14.83271754,5.435326048,0.761,640.9527886,1.558301064,0.02671237769,786.7,0.165,0.374,0.9566187491,-15.37334104,115,56.66044258,4.020198879,64.3562147,True,True,True,0.02442271566,0.07946404793,0.0178990858,True,True,True,0.161,0.059,0.273,True,True,True,True,True,True,results/plots/210330_Sample_C7_force_time.png,results/plots/210330_Sample_C7_force_extension.png
210330 MRC Sample C8Data.csv,30.03.2021,C,8,180.2,F,8wks,Tm1b Wt,46.57306858,-0.0298360595,False,0.02814439403,36.4616097,161.0143333,20361.93082,0.020361931,14.001,0.375,18.41672089,8.127990858,1.138,443.322459,5.25490436,0.0278551532,786.9,0.218,0.39,0.9464393123,-7.133752502,180,39.79066834,38.63629579,49.5278456,True,True,True,0.02588451887,0.03973676974,0.01823527233,True,True,True,0.187,0.123,0.385,True,True,True,True,True,True,results/plots/210330_Sample_C8_force_time.png,results/plots/210330_Sample_C8_force_extension.png
210330 MRC Sample C9Data.csv,30.03.2021,C,9,180.2,F,8wks,Tm1b Wt,20.44943074,-0.02063976231,False,0.1183636762,43.46852009,172.8653333,23469.6005,0.023469601,14,0.327,13.93291688,7.942857143,1.112,348.169851,7.541670606,0.02828571429,786.99,0.326,0.396,0.8690293398,-2.519836575,130,13.65085136,34.98939949,78.22236066,True,True,True,0.01689668259,0.03087373748,0.02140970423,True,True,True,0.3,0.156,0.375,True,True,True,True,True,True,results/plots/210330_Sample_C9_force_time.png,results/plots/210330_Sample_C9_force_extension.png
210407 MRC Sample A1Data.csv,07.04.2021,A,1,104.1,F,8wks,Tm1b Het,19.54655819,-0.01101068626,False,0.03232525118,44.8858375,125.5006667,12370.34885,0.012370349,14,0.237,19.15871573,9.435714286,1.321,439.3526783,2.101800038,0.02664285714,786.68,0.045,0.373,0.8093932793,-7.775652837,180,12.28865884,10.19362102,40.99623447,True,True,True,0.07813135347,0.09096149082,0.01793727878,True,False,True,0.068,0.063,0.264,True,True,True,True,False,True,results/plots/210407_Sample_A1_force_time.png,results/plots/210407_Sample_A1_force_extension.png
210407 MRC Sample A10Data.csv,07.04.2021,A,10,104.1,F,8wks,Tm1b Het,64.12245984,-0.02215668015,False,0.07586769247,62.39407469,129.085,13087.04029,0.01308704,14,0.074,5.654448982,5.1,0.714,203.4178711,2.445167127,0.039,788.9,0.029,0.546,0.3421469399,-5.796392199,102,5.665623132,15.98025,16.57572393,True,True,True,0.04145350852,0.07769112009,0.04385346902,True,True,True,0.09,0.058,0.095,True,True,True,True,True,True,results/plots/210407_Sample_A10_force_time.png,results/plots/210407_Sample_A10_force_extension.png
210407 MRC Sample A10bData.csv,07.04.2021,A,10,104.1,F,8wks,Tm1b Het,1.145594128,-0.0008385746269,False,0.02288795499,24.57414461,129.085,13087.04029,0.01308704,14.001,0.221,16.88693547,5.492464824,0.769,481.1877864,4.813922782,0.0254981787,786.47,0.05,0.357,0.819358215,-7.513986235,180,18.92453778,8.494614978,29.94072107,True,True,True,0.05638200338,0.05764368808,0.02397671975,True,True,True,0.095,0.079,0.232,True,True,True,True,True,True,results/plots/210407_Sample_A10_force_time.png,results/plots/210407_Sample_A10_force_extension.png
