"sample_key","cluster_dtw","Date","Sample_ID","MouseID","Sex","Age","Genotype","Replicate","Average_diameter..um.","C.s.a..um.squared.","C.s.a..mm.squared.","Date_ID","FileName","exclusion_reason"
"210408.MRC.Sample.B9Data",4,"08.04.2021","B","227.2","F","8wks","Tm1b Hom",9,117.701,10880.53341,0.010880533,210408,"210408 MRC Sample B9Data.csv",NA
"210408.MRC.Sample.C10Data",3,"08.04.2021","C","227.3","F","8wks","Tm1b Hom",10,94.3475,6991.183076,0.006991183,210408,"210408 MRC Sample C10Data.csv",NA
"210408.MRC.Sample.C2Data",4,"08.04.2021","C","227.3","F","8wks","Tm1b Hom",2,101.549,8099.18247,0.008099182,210408,"210408 MRC Sample C2Data.csv",NA
"210408.MRC.Sample.C3Data",2,"08.04.2021","C","227.3","F","8wks","Tm1b Hom",3,135.4073333,14400.38992,0.01440039,210408,"210408 MRC Sample C3Data.csv",NA
"210408.MRC.Sample.C4Data",3,"08.04.2021","C","227.3","F","8wks","Tm1b Hom",4,125.3386667,12338.43344,0.012338433,210408,"210408 MRC Sample C4Data.csv",NA
"210408.MRC.Sample.C6Data",3,"08.04.2021","C","227.3","F","8wks","Tm1b Hom",6,101.2553333,8052.406607,0.008052407,210408,"210408 MRC Sample C6Data.csv",NA
"210408.MRC.Sample.C7Data",3,"08.04.2021","C","227.3","F","8wks","Tm1b Hom",7,137.515,14852.17397,0.014852174,210408,"210408 MRC Sample C7Data.csv",NA
"210408.MRC.Sample.C8Data",3,"08.04.2021","C","227.3","F","8wks","Tm1b Hom",8,103.6176667,8432.522299,0.008432522,210408,"210408 MRC Sample C8Data.csv",NA
"210408.MRC.Sample.C9Data",3,"08.04.2021","C","227.3","F","8wks","Tm1b Hom",9,104.823,8629.846107,0.008629846,210408,"210408 MRC Sample C9Data.csv",NA
"210409.MRC.Sample.A1Data",1,"09.04.2021","A","175.1","F","8wks","Tm1b Wt",1,128.4556667,12959.74381,0.012959744,210409,"210409 MRC Sample A1Data.csv",NA
"210409.MRC.Sample.A2Data",4,"09.04.2021","A","175.1","F","8wks","Tm1b Wt",2,89.829,6337.573534,0.006337574,210409,"210409 MRC Sample A2Data.csv",NA
"210409.MRC.Sample.A3Data",2,"09.04.2021","A","175.1","F","8wks","Tm1b Wt",3,194.5676667,29732.48599,0.029732486,210409,"210409 MRC Sample A3Data.csv",NA
"210409.MRC.Sample.A4Data",3,"09.04.2021","A","175.1","F","8wks","Tm1b Wt",4,180.3016667,25532.26622,0.025532266,210409,"210409 MRC Sample A4Data.csv",NA
"210409.MRC.Sample.A5Data",2,"09.04.2021","A","175.1","F","8wks","Tm1b Wt",5,135.9643333,14519.10601,0.014519106,210409,"210409 MRC Sample A5Data.csv",NA
"210409.MRC.Sample.A6Data",2,"09.04.2021","A","175.1","F","8wks","Tm1b Wt",6,176.869,24569.33048,0.02456933,210409,"210409 MRC Sample A6Data.csv",NA
"210409.MRC.Sample.A7Data",2,"09.04.2021","A","175.1","F","8wks","Tm1b Wt",7,114.6273333,10319.68069,0.010319681,210409,"210409 MRC Sample A7Data.csv",NA
"210409.MRC.Sample.A8Data",1,"09.04.2021","A","175.1","F","8wks","Tm1b Wt",8,132.534,13795.72385,0.013795724,210409,"210409 MRC Sample A8Data.csv",NA
"210409.MRC.Sample.A9Data",2,"09.04.2021","A","175.1","F","8wks","Tm1b Wt",9,106.0523333,8833.44964,0.00883345,210409,"210409 MRC Sample A9Data.csv",NA
"210409.MRC.Sample.B1Data",2,"09.04.2021","B","107.3","F","8wks","Tm1b Het",1,136.457,14624.51659,0.014624517,210409,"210409 MRC Sample B1Data.csv",NA
"210409.MRC.Sample.B10Data",4,"09.04.2021","B","107.3","F","8wks","Tm1b Het",10,128.483,12965.25965,0.01296526,210409,"210409 MRC Sample B10Data.csv",NA
"210409.MRC.Sample.B2Data",2,"09.04.2021","B","107.3","F","8wks","Tm1b Het",2,103.4416667,8403.900471,0.0084039,210409,"210409 MRC Sample B2Data.csv",NA
"210409.MRC.Sample.B3Data",2,"09.04.2021","B","107.3","F","8wks","Tm1b Het",3,99.17233333,7724.51008,0.00772451,210409,"210409 MRC Sample B3Data.csv",NA
"210409.MRC.Sample.B4Data",1,"09.04.2021","B","107.3","F","8wks","Tm1b Het",4,144.2723333,16347.67491,0.016347675,210409,"210409 MRC Sample B4Data.csv",NA
"210409.MRC.Sample.B5Data",1,"09.04.2021","B","107.3","F","8wks","Tm1b Het",5,115.425,10463.80524,0.010463805,210409,"210409 MRC Sample B5Data.csv",NA
"210409.MRC.Sample.B6Data",2,"09.04.2021","B","107.3","F","8wks","Tm1b Het",6,95.87433333,7219.29179,0.007219292,210409,"210409 MRC Sample B6Data.csv",NA
"210409.MRC.Sample.B7Data",2,"09.04.2021","B","107.3","F","8wks","Tm1b Het",7,149.043,17446.69017,0.01744669,210409,"210409 MRC Sample B7Data.csv",NA
"210409.MRC.Sample.B8Data",2,"09.04.2021","B","107.3","F","8wks","Tm1b Het",8,116.4433333,10649.25287,0.010649253,210409,"210409 MRC Sample B8Data.csv",NA
"210409.MRC.Sample.B9Data",2,"09.04.2021","B","107.3","F","8wks","Tm1b Het",9,105.5033333,8742.230308,0.00874223,210409,"210409 MRC Sample B9Data.csv",NA
"210409.MRC.Sample.C1Data",4,"09.04.2021","C","227.4","F","8wks","Tm1b Hom",1,104.2863333,8541.707142,0.008541707,210409,"210409 MRC Sample C1Data.csv",NA
"210409.MRC.Sample.C10Data",4,"09.04.2021","C","227.4","F","8wks","Tm1b Hom",10,102.979,8328.891829,0.008328892,210409,"210409 MRC Sample C10Data.csv",NA
"210409.MRC.Sample.C3Data",2,"09.04.2021","C","227.4","F","8wks","Tm1b Hom",3,160.9443333,20344.23022,0.02034423,210409,"210409 MRC Sample C3Data.csv",NA
"210409.MRC.Sample.C4Data",3,"09.04.2021","C","227.4","F","8wks","Tm1b Hom",4,111.0046667,9677.704467,0.009677704,210409,"210409 MRC Sample C4Data.csv",NA
"210409.MRC.Sample.C5Data",4,"09.04.2021","C","227.4","F","8wks","Tm1b Hom",5,107.0593333,9001.998794,0.009001999,210409,"210409 MRC Sample C5Data.csv",NA
"210409.MRC.Sample.C7Data",4,"09.04.2021","C","227.4","F","8wks","Tm1b Hom",7,110.3326667,9560.885374,0.009560885,210409,"210409 MRC Sample C7Data.csv",NA
"210409.MRC.Sample.C8Data",4,"09.04.2021","C","227.4","F","8wks","Tm1b Hom",8,109.0726667,9343.761486,0.009343761,210409,"210409 MRC Sample C8Data.csv",NA
"210409.MRC.Sample.C9Data",3,"09.04.2021","C","227.4","F","8wks","Tm1b Hom",9,105.4823333,8738.750445,0.00873875,210409,"210409 MRC Sample C9Data.csv",NA
"210412.MRC.Sample.A1Data",3,"12.04.2021","A","106.1","F","8wks","oim Wt",1,111.659,9792.134035,0.009792134,210412,"210412 MRC Sample A1Data.csv",NA
"210412.MRC.Sample.A10Data",3,"12.04.2021","A","106.1","F","8wks","oim Wt",10,154.2873333,18696.07437,0.018696074,210412,"210412 MRC Sample A10Data.csv",NA
"210412.MRC.Sample.A2Data",3,"12.04.2021","A","106.1","F","8wks","oim Wt",2,89.809,6334.751787,0.006334752,210412,"210412 MRC Sample A2Data.csv",NA
